	('0bd91467948e48c1b135d6f55d8ea80937ee7d692bdd46e096362b8c6ba1afc5','输入法','f0e1020dcc47476f8a834b6e3abd4f10323b0a58f3a447319d10eca9988250a3','sss',20,NULL,'admin','2016-11-11 00:22:31.0','admin','2016-12-07 17:02:21.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('656f83e390cd44ba97525f868ccc92b053f2139f56bf48418129107ee4b9cb5c','N9','df4be4479acf4678847f41feb9c9f3919955ad724a24437e936b350fc3398587','7',7,NULL,'admin','2016-11-11 17:06:00.0','admin','2016-11-16 10:30:19.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('243531d6d16d497ab1f054b97aa3e6fdbe17ae34ff0d44b09b60d54f42e7f417','星期四','a38775dd46854a65a9bbb4f57213f065f7e7259f849d4302a9261aa0197cc4fe','今天星期二',1,NULL,'admin','2016-12-21 15:02:41.0','admin','2017-01-04 14:29:14.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('1029284f3b804d8e93ee9276fb141f487f82de30d6c04e76961743209f022910','qqqq','7ea89fa7a928441698698c30554a427b76f0c5745be64a878f810a38e721f420','发的发的发',0,NULL,'admin','2017-01-03 10:56:23.0','admin','2017-01-03 10:56:23.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('74e37d7b29fa45c18fed22a3241c861d72f7e72911f743b2b879ad74f3ab703e','qqqq','7ea89fa7a928441698698c30554a427b76f0c5745be64a878f810a38e721f420','地方',1,NULL,'admin','2017-01-03 10:56:34.0','admin','2017-01-11 14:42:43.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('1fe0f7488b514371a07d036f9f7069fa0d0c537276d047138866f6984d143467','1','cc45309f7c894d7487f283123cdc50d2666f05122fb946e0970a08824ec5af7d','sssss',0,NULL,'admin','2017-01-03 10:56:43.0','admin','2017-01-13 10:44:53.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('b9a8fcd141b94806a75b7051ecab4a678404d56df4e24e36ba1bc9c2d1733589','星期四','a38775dd46854a65a9bbb4f57213f065f7e7259f849d4302a9261aa0197cc4fe','地方撒旦',1,NULL,'admin','2017-01-03 10:56:51.0','admin','2017-01-04 14:33:51.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('bcda72f332b1493c848aaa9cbaef7228a590f0d420e041f69fb0fbdc33f78c1f','qqqq','7ea89fa7a928441698698c30554a427b76f0c5745be64a878f810a38e721f420','范德萨发',1,NULL,'admin','2017-01-03 10:56:57.0','admin','2017-01-09 07:47:28.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('58ee8834d6d04712a1f208f981c53cfa37318556ce804400b251125c93572ef4','qqqq','7ea89fa7a928441698698c30554a427b76f0c5745be64a878f810a38e721f420','范德萨发',1,NULL,'admin','2017-01-03 10:57:08.0','admin','2017-01-03 10:57:08.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('1b7e0a44d75a4556b6fbd8e625238d29ddcb7653fe434673925142f5dc1d0ba2','导航页','085d7911204d4185a66c0966076abfad9d54549b36b940e9865d8a5cff2b7601','运气霉',0,NULL,'admin','2017-01-11 13:44:31.0','admin','2017-01-11 13:47:35.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('b5189eb8e89d43d7ac3b52579140a4fdfbb807a098df4278bb596207b01c3bce','导航页','085d7911204d4185a66c0966076abfad9d54549b36b940e9865d8a5cff2b7601','运气霉',0,NULL,'admin','2017-01-11 13:44:31.0','admin','2017-01-11 13:47:31.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('08c8489028a94ddf9511cd3008a0dc83a60a42d7c49c4460b0b7068ddbe80d3c','下班','f80d0013ef7f4f40a4feaacf50e3e61cafc6daaad7f84fa19a593a354ebf9825','修改',1,NULL,'admin','2017-01-11 13:48:33.0','admin','2017-01-11 14:27:53.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('769168bdef114c76b1e21d96cf4945dfd455b281f9eb4276a1bd654563232866','测试测试','e0861664dfd44952bc39148ced8b9cc6ad793784371d48208d5a79bca3f319b6','再来一次qq',1,NULL,'admin','2017-01-11 15:27:01.0','admin','2017-01-11 16:12:33.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('54079e2ed50c40769e115f17967b72ff30f8cd5fe555496882a30f5816282653','输入法','f0e1020dcc47476f8a834b6e3abd4f10323b0a58f3a447319d10eca9988250a3','修改输入法',1,NULL,'admin','2017-01-11 15:27:32.0','admin','2017-01-11 15:37:57.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('caf709193ea94cd8af7ba7df36949fd8a2d2f423c54c4087855a176f88866a19','WW','b7c4854e53da482691ea652727bd79f498aa30f5f1af4564b457346d2d9efacf','还是没有',0,NULL,NULL,'2016-11-04 11:06:07.0',NULL,'2016-11-04 11:06:07.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('37ad3d66e49548e5b541d7d31105fbee212537d3dda34687a1110bc4291d0f80','AAA','1449ec83cabc4df69f7bb0aa5a08222540be6eccf34849f7983f5d88f68111c2','范德萨发',22,NULL,'admin','2016-11-07 14:53:58.0','admin','2016-11-10 09:19:47.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('0a524266df1b4ed7ac7084b22d2959cda19df4144b8d4b6f91641b1e9845e501','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','222',0,NULL,NULL,'2016-11-08 16:15:43.0','admin','2016-11-10 09:20:08.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('2de232f289564afebe49a5f4d9933cd3e9005d94a65648e89deeaee70fd7275a','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','333',0,NULL,NULL,'2016-11-08 16:20:36.0','admin','2016-11-10 09:19:54.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('e68160f095404a85896c8c13499fe6c7191030cc091044dd8b28807d37921052','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','444',1,NULL,NULL,'2016-11-08 16:39:30.0','admin','2016-11-10 09:20:11.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('fdc4bf09fdd04312959d8eb388235ac794f958c67b494dd19e983ae8eb142b0c','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','我很帅',0,NULL,NULL,'2016-11-08 16:40:23.0','admin','2016-11-08 16:43:33.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('1e0d267d43cf46c193dd3fb0e1295437dc22d1b16f2746579153f2ab3bd46e6b','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','444',1,NULL,NULL,'2016-11-08 16:48:21.0','admin','2016-11-10 09:19:59.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('5045dfadad414ff282ef7aea39435c0872262e8e407945688eb5d10cde7f9d60','N9','df4be4479acf4678847f41feb9c9f3919955ad724a24437e936b350fc3398587','恼火',0,NULL,NULL,'2016-11-09 15:27:04.0','admin','2016-11-09 15:36:03.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('6e087d09f21a461f943ffcd64608d5dd0c781b15f928446fb982e13ad429cd38','N9','df4be4479acf4678847f41feb9c9f3919955ad724a24437e936b350fc3398587','000',0,NULL,NULL,'2016-11-09 15:38:07.0','admin','2016-11-10 09:19:39.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('fd6623a0d34b4f57abc41bc5a6b49c31ae8e64f8646a401da5e3577154b7cb73','N1','4f2ef8b6506d4825ac0f1f5e6fc939ae30019bdb646a487f8b12cc71f82ca324','哈哈啊哈',0,NULL,NULL,'2016-11-09 15:51:51.0','admin','2016-11-10 15:58:11.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('263f1c02b27541178f1142e9c35e1ba2dde7852af94b42eb957d856cadc5f9e8','N5','6ce7fb0aa4894206a72cff0c537e82a52a415f90a3184e5aa754a773d96a7fab','12121',0,NULL,NULL,'2016-11-09 15:56:11.0','admin','2016-11-10 09:19:44.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('43a6f901c5d9453e9e53e0c34dfc7171eaed02b6baf448edbd897f4c423282d9','N5','6ce7fb0aa4894206a72cff0c537e82a52a415f90a3184e5aa754a773d96a7fab','修改一哈',1,NULL,NULL,'2016-11-09 15:58:12.0','admin','2016-11-10 15:58:26.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('4156156b78c0448abbae20a26ac4fdbdc70fefbc3fad493e91fb6f3d61fd3e15','N5','6ce7fb0aa4894206a72cff0c537e82a52a415f90a3184e5aa754a773d96a7fab','123',0,NULL,NULL,'2016-11-09 16:57:11.0','admin','2016-11-10 09:19:36.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('3bedd3e6d0104431b81dd0fb102138a17759ee50724346c9a0b3722c83daa177','基地管理','aaf98e094d1a43c9af2640a890136c377767d0a9278945438f427614d76f8969','哦哦',1,NULL,'admin','2017-01-10 06:28:03.0','admin','2017-01-10 06:28:03.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('35ac8351adff4c90853453fc23fc315bedb93960fe664e7886b1d415d07e8234','基地管理','aaf98e094d1a43c9af2640a890136c377767d0a9278945438f427614d76f8969','我不崩溃',1,NULL,'admin','2017-01-10 07:14:27.0','admin','2017-01-11 17:20:55.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('189a67769170423e8539465ca5efe1db99b9b706d2f44aa195f4cacff03e182e','基地管理','aaf98e094d1a43c9af2640a890136c377767d0a9278945438f427614d76f8969','顺序',1,NULL,'admin','2017-01-10 07:15:11.0','admin','2017-01-10 07:15:11.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('1','1','2fb84f604b2848329f09df52a269cc0ab896fdb3b43f4dc4aa1b12b381ed7362','测试',3,'Y','system','2016-11-03 00:00:00.0','admin','2016-12-21 14:29:02.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('9bd72235eef340c29e27cad4ad6e93c32bf121d49c2248978f24d0ec7725782b','WW','c27937f4926b4983be7d5633c60d1f1c05c3faae49964052835f6b9ea9d4ddc8','11',0,NULL,'admin','2016-11-03 14:23:55.0','admin','2016-11-03 14:23:55.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('472f91d58681495b914f83f297ca4704171ee04568794bf78ae567a19cd5c1f0','N5','24a7ebf1280f43c1b4b048a9acc18254ad099756c36e465a9adc9fa1374f8e52','添加进去',0,NULL,'admin','2016-11-03 14:28:47.0','admin','2016-11-04 16:26:21.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('0c59a7c4a2804c9e919aac1c610f93c09054d5be58754a08bee1bda9177b71cf','WW','2132940b8d9941a1b498963080d0054ae96e2e4d74fb47288e41e17fa40aae85','要疯',0,NULL,'admin','2016-11-03 15:13:36.0','admin','2016-11-04 09:56:24.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('d76cb5c7a1464324b255b75ac5d6b781451747dfb92644d89734fcfea709dd9d','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','眼睛疼',0,NULL,'admin','2016-11-08 13:48:31.0','admin','2016-11-10 10:10:24.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('729fe40e153e4f8f860d111a66c998b7779bdcfa9654420690b15cdfcc2cd565','N5','6ce7fb0aa4894206a72cff0c537e82a52a415f90a3184e5aa754a773d96a7fab','终于好了',0,NULL,'admin','2016-11-09 17:31:45.0','admin','2016-11-29 16:41:25.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('929c3b9cbe7c44c481ff559169c92e7c7c3c825559b74532a7a6f26c1af9e59a','N9','df4be4479acf4678847f41feb9c9f3919955ad724a24437e936b350fc3398587','早上来一发',0,NULL,'admin','2016-11-10 09:19:25.0','admin','2016-12-01 16:00:55.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('b231b4ca72734ab88b0cee385b660a2108801dcecaf7414997ecac529149b881','星期四','a336bbd383d942abb6762d85b66aea53a4771fcc8005403ebd355765913fc76c','去去去去',1,NULL,'admin','2016-12-20 06:33:50.0','admin','2017-01-09 07:58:09.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('352fe3b9042d496aa9a196d1c14b35ec25f93629184d411692801b551deb5f94','qqqq','bbee68900465424384f358fd53b21221346f79b2b706419fac030d06e153f320','qqqq',10,NULL,'admin','2016-12-30 17:14:33.0','admin','2017-01-09 09:53:51.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('f7262a2a62614fd595f1bc1226937f79ee6560dbe95f43deba9fa0e7b2ba4551','测试测试','ae55bfbd89aa4e469936d6c8fee470fa3813b1d94c3840c79f498bb7a9e702e7','qqqq2',11,NULL,'admin','2016-12-30 17:46:26.0','admin','2017-01-03 10:50:13.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('8bc80400b2ea4632b256a20db5203a5b8fdef88de1b24c19ae5433580b861076','qqqq','7ea89fa7a928441698698c30554a427b76f0c5745be64a878f810a38e721f420','1212',1,NULL,'admin','2017-01-03 10:48:22.0','admin','2017-01-10 07:14:08.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('8d4592f979c34f5385a39e48946ad4c0382bc8ddf2e64e16932b4bf5976d06b8','adfadsf','6009b650f8b247008e192af73b9294af9a5eaac9acea40cfb9763e33a560e814','12212',1,NULL,'admin','2017-01-03 11:26:58.0','admin','2017-01-03 11:26:58.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('daf7e822f959402c9283fe97bc7e3eb7259f7e258cfa45b0a05bb2271ffbf60f','星期四','dfed436cc2fd4975b2f9774308541dcaa31e394083224046a48ef93f10f8e5d1','QQ群+++000',0,NULL,'admin','2017-01-12 14:14:30.0','admin','2017-01-12 16:18:22.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('e98162c068154f68821f9b6ab7914af23d9645958f0b4527b82b9f6c12509c1b','待收货','cc45309f7c894d7487f283123cdc50d2666f05122fb946e0970a08824ec5af7d','买毛线123',0,NULL,'admin','2017-01-12 16:19:47.0','admin','2017-01-12 16:33:55.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('d43872327c324246beb08828d00e63d81c6d33afff6e46eead52203b1cd814ed','输入法','f0e1020dcc47476f8a834b6e3abd4f10323b0a58f3a447319d10eca9988250a3','ceshi',0,NULL,'admin','2017-01-12 16:34:29.0','admin','2017-01-13 10:46:06.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('9305f7eaedf1415487733e8a4fd560736281f6623e7b4ee4a3814b8aa41a0e41','N3','a08ec2cc70fd4c2f9ab2ba5ddec354b473c1c4a561d14335bf0aa0d1cb4cb19e','修改',0,NULL,NULL,'2016-11-04 10:46:21.0','admin','2016-11-04 15:07:18.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('06537d6a81424f468cc46c53915e40e05d114b35fc4c4e868209b87cc3e9dcad','N5','9e24d97259114a59bfc631881dbb8981ed9bd9504cfc423bb401ef9ffe127389','天机',0,NULL,NULL,'2016-11-04 15:02:57.0',NULL,'2016-11-04 15:02:57.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('34145d9f981c43a08eb08480c8b63e11e8c2098a394b46b8a0b0c20b5ef88876','N5','11127766166a4651ab71e8a16a9cd25c5c2b31b2b3a94e8cb126fde559ed187f','测试一哈',0,NULL,NULL,'2016-11-04 15:12:08.0',NULL,'2016-11-04 15:13:19.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('4cf1b76cb2ca46858a82e583dc68dcadc2fb391994bc464eb6ef49a5ed5fe28b','N1','4f2ef8b6506d4825ac0f1f5e6fc939ae30019bdb646a487f8b12cc71f82ca324','很忧伤111',1,NULL,'admin','2016-11-08 13:59:23.0','admin','2017-01-03 10:50:26.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('8224514a750b4ac3a35736af519ef95a2aacd16182b14ec1b55b6d1e73ea1a90','星期四','a38775dd46854a65a9bbb4f57213f065f7e7259f849d4302a9261aa0197cc4fe','aaa',10,NULL,'admin','2017-01-04 13:04:18.0','admin','2017-01-04 13:04:18.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
